,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
78,08/22/2022,FL,"6,977,800",,,"6,870","2,376","79,959",,,43,8,08/22/2022 12:00:00 AM,Not agree,Not agree
93,04/10/2021,FL,"2,085,229",,,"5,520","1,433","34,620",,,50,3,04/10/2021 12:00:00 AM,Not agree,Not agree
102,10/17/2020,FL,"739,613",,,"2,476",233,"17,211",,,74,2,10/17/2020 12:00:00 AM,Not agree,Not agree
112,08/18/2021,FL,"3,014,988",,,"24,405","5,842","45,209",,,369,28,08/18/2021 12:00:00 AM,Not agree,Not agree
133,03/10/2021,FL,"1,924,074",,,"5,046","1,299","32,923",,,63,1,03/10/2021 12:00:00 AM,Not agree,Not agree
191,08/25/2022,FL,"6,998,469",,,"6,789","2,068","80,140",,,66,9,08/25/2022 12:00:00 AM,Not agree,Not agree
230,01/18/2021,FL,"1,557,597",,,"9,620","3,030","26,503",,,205,28,01/18/2021 12:00:00 AM,Not agree,Not agree
272,10/13/2021,FL,"3,636,284",,,"3,459",935,"60,255",,,84,4,10/13/2021 12:00:00 AM,Not agree,Not agree
316,02/09/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
334,09/23/2021,FL,"3,555,005",,,"7,860","2,301","57,408",,,203,18,09/23/2021 12:00:00 AM,Not agree,Not agree
349,08/31/2020,FL,"617,406",,,"7,271",332,"14,062",,,121,3,08/31/2020 12:00:00 AM,Not agree,Not agree
379,06/06/2021,FL,"2,297,375",,,"1,232",212,"37,393",,,26,3,06/06/2021 12:00:00 AM,Not agree,Not agree
404,11/09/2021,FL,"3,685,956",,,"1,549",529,"61,734",,,45,3,11/09/2021 12:00:00 AM,Not agree,Not agree
410,02/19/2022,FL,"5,783,412",,,"2,981",512,"71,709",,,99,10,02/19/2022 12:00:00 AM,Not agree,Not agree
470,05/15/2021,FL,"2,252,177",,,"2,405",567,"36,487",,,50,4,05/15/2021 12:00:00 AM,Not agree,Not agree
490,12/29/2020,FL,"1,280,058",,,"13,485","4,637","22,964",,,145,15,12/29/2020 12:00:00 AM,Not agree,Not agree
560,07/29/2022,FL,"6,800,160",,,"10,785","3,240","78,293",,,77,17,07/29/2022 12:00:00 AM,Not agree,Not agree
569,07/03/2022,FL,"6,518,904",,,"6,713","1,091","76,604",,,48,8,07/03/2022 12:00:00 AM,Not agree,Not agree
571,01/27/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
581,10/26/2021,FL,"3,663,494",,,"1,972",644,"61,153",,,49,5,10/26/2021 12:00:00 AM,Not agree,Not agree
593,08/29/2022,FL,"7,019,081",,,"6,229","2,256","80,394",,,61,3,08/29/2022 12:00:00 AM,Not agree,Not agree
596,10/19/2021,FL,"3,650,185",,,"2,720",960,"60,711",,,76,11,10/19/2021 12:00:00 AM,Not agree,Not agree
683,10/18/2022,FL,"7,145,833",,,"1,661",660,"82,065",,,0,0,10/18/2022 12:00:00 AM,Not agree,Not agree
699,08/25/2021,FL,"3,164,536",,,"21,383","6,228","47,939",,,377,32,08/25/2021 12:00:00 AM,Not agree,Not agree
764,05/25/2021,FL,"2,276,400",,,"2,384",719,"36,919",,,37,1,05/25/2021 12:00:00 AM,Not agree,Not agree
787,08/29/2020,FL,"608,517",,,"2,516",95,"13,843",,,120,0,08/29/2020 12:00:00 AM,Not agree,Not agree
813,06/14/2021,FL,"2,309,834",,,"1,397",448,"37,632",,,23,1,06/14/2021 12:00:00 AM,Not agree,Not agree
834,09/10/2021,FL,"3,433,678",,,"9,358","2,214","54,044",,,350,40,09/10/2021 12:00:00 AM,Not agree,Not agree
848,09/08/2020,FL,"638,522",,,"2,346",344,"14,840",,,80,0,09/08/2020 12:00:00 AM,Not agree,Not agree
876,06/20/2020,FL,"94,877",,,"4,643",2,"3,289",,,39,0,06/20/2020 12:00:00 AM,Not agree,Not agree
924,12/20/2020,FL,"1,188,814",,,"10,732","2,201","21,823",,,131,13,12/20/2020 12:00:00 AM,Not agree,Not agree
